               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.022344,            0.006516,          0.00082763,             0.96112,             0.99993,               0.995,             0.85155,            0.016334,           0.0022857,          0.00063562,            0.007426,            0.007426,            0.007426
                  80,            0.023415,           0.0068452,           0.0007609,             0.98065,             0.99991,               0.995,             0.84491,            0.016398,           0.0023127,          0.00065292,            0.007393,            0.007393,            0.007393
                  81,            0.023724,           0.0068567,          0.00079081,             0.99702,             0.99985,               0.995,             0.80902,            0.017447,           0.0025689,          0.00070923,             0.00736,             0.00736,             0.00736
                  82,            0.022273,           0.0069777,          0.00080347,             0.98578,             0.99989,               0.995,             0.83066,             0.01597,           0.0023971,          0.00072109,            0.007327,            0.007327,            0.007327
                  83,            0.022809,           0.0065987,          0.00075125,             0.98181,                   1,               0.995,             0.84767,            0.018304,           0.0024057,          0.00074312,            0.007294,            0.007294,            0.007294
                  84,            0.023076,           0.0068971,          0.00066521,             0.99332,                   1,               0.995,             0.84311,            0.015547,           0.0022308,          0.00067955,            0.007261,            0.007261,            0.007261
                  85,            0.022821,           0.0066425,          0.00072611,              0.9816,                   1,               0.995,             0.86655,            0.015013,           0.0022493,          0.00059802,            0.007228,            0.007228,            0.007228
                  86,            0.022359,           0.0066692,          0.00064459,             0.97189,             0.99993,               0.995,              0.8744,            0.015608,           0.0022186,          0.00056222,            0.007195,            0.007195,            0.007195
                  87,            0.022452,           0.0064055,          0.00070369,             0.99096,             0.99994,               0.995,             0.89991,            0.016531,            0.002132,          0.00062478,            0.007162,            0.007162,            0.007162
                  88,             0.02152,           0.0062934,          0.00084026,             0.99252,                   1,               0.995,             0.89788,            0.014045,            0.002139,          0.00061928,            0.007129,            0.007129,            0.007129
                  89,            0.022123,           0.0066688,          0.00069669,             0.99527,             0.99996,               0.995,             0.82893,            0.015128,           0.0023654,          0.00057801,            0.007096,            0.007096,            0.007096
                  90,            0.021688,           0.0061101,          0.00079073,              0.9961,                   1,               0.995,              0.8276,            0.018086,           0.0022894,          0.00059758,            0.007063,            0.007063,            0.007063
                  91,            0.022807,           0.0063611,          0.00088196,             0.98715,                   1,               0.995,             0.84983,            0.014988,           0.0021994,          0.00069482,             0.00703,             0.00703,             0.00703
                  92,            0.023214,           0.0068989,          0.00081485,             0.98628,                   1,               0.995,             0.87071,            0.014876,           0.0022891,          0.00060888,            0.006997,            0.006997,            0.006997
                  93,            0.019434,           0.0060836,          0.00079594,             0.98739,                   1,               0.995,             0.89008,            0.012908,           0.0020753,          0.00057178,            0.006964,            0.006964,            0.006964
                  94,             0.02081,           0.0062309,          0.00055592,             0.98307,                   1,               0.995,             0.85958,             0.01378,           0.0020089,          0.00056476,            0.006931,            0.006931,            0.006931
                  95,            0.022521,           0.0062716,          0.00058515,             0.98507,                   1,               0.995,             0.87281,            0.016315,           0.0021368,          0.00056105,            0.006898,            0.006898,            0.006898
                  96,            0.021713,           0.0064382,          0.00089523,              0.9917,                   1,               0.995,             0.85568,            0.017864,           0.0024107,          0.00056161,            0.006865,            0.006865,            0.006865
                  97,            0.020291,           0.0062646,          0.00077134,             0.99544,                   1,               0.995,             0.86851,            0.015492,           0.0022581,          0.00063401,            0.006832,            0.006832,            0.006832
                  98,            0.021708,           0.0066983,          0.00084027,             0.99455,                   1,               0.995,             0.87009,            0.014902,            0.002202,          0.00066712,            0.006799,            0.006799,            0.006799
                  99,            0.020339,           0.0065017,          0.00067018,             0.99202,             0.99998,               0.995,             0.83015,            0.013033,           0.0021517,          0.00058487,            0.006766,            0.006766,            0.006766
                 100,             0.01978,           0.0060409,          0.00079053,             0.99912,                   1,               0.995,             0.90532,            0.014249,           0.0021648,          0.00059736,            0.006733,            0.006733,            0.006733
                 101,            0.019774,           0.0058855,           0.0008886,             0.99578,                   1,               0.995,             0.88845,            0.013724,           0.0022145,          0.00058269,              0.0067,              0.0067,              0.0067
                 102,            0.019754,            0.006598,          0.00072294,             0.99166,             0.99989,               0.995,             0.88998,            0.013363,           0.0021326,          0.00058331,            0.006667,            0.006667,            0.006667
                 103,            0.019036,           0.0065073,          0.00064833,             0.98718,             0.99998,               0.995,              0.8304,            0.015943,           0.0022069,          0.00052991,            0.006634,            0.006634,            0.006634
                 104,            0.019217,           0.0062891,          0.00074453,             0.99301,                   1,               0.995,             0.89552,            0.012895,           0.0021044,          0.00055743,            0.006601,            0.006601,            0.006601
                 105,            0.019737,           0.0061022,          0.00070843,             0.99742,                   1,               0.995,             0.89545,            0.013284,           0.0019701,          0.00056035,            0.006568,            0.006568,            0.006568
                 106,            0.019319,           0.0058797,          0.00075631,             0.99792,                   1,               0.995,             0.87525,            0.013316,           0.0019847,          0.00051576,            0.006535,            0.006535,            0.006535
                 107,            0.019592,           0.0061758,           0.0005252,             0.99922,                   1,               0.995,             0.86044,            0.013104,           0.0019423,          0.00047666,            0.006502,            0.006502,            0.006502
                 108,            0.020699,           0.0060665,          0.00057033,              0.9928,             0.99997,               0.995,             0.86946,            0.013533,           0.0020868,          0.00049225,            0.006469,            0.006469,            0.006469
                 109,            0.019859,           0.0061619,          0.00060851,             0.99613,                   1,               0.995,             0.90223,            0.014024,           0.0021079,            0.000466,            0.006436,            0.006436,            0.006436
                 110,            0.019297,           0.0062416,          0.00063119,             0.99472,                   1,               0.995,             0.87659,            0.012238,           0.0020653,          0.00044114,            0.006403,            0.006403,            0.006403
                 111,            0.018268,           0.0061922,          0.00060033,             0.98893,              0.9999,               0.995,             0.90436,            0.014071,           0.0020693,          0.00044942,             0.00637,             0.00637,             0.00637
                 112,            0.017871,           0.0059406,          0.00058141,              0.9896,             0.99996,               0.995,             0.89234,            0.012084,           0.0019439,           0.0004814,            0.006337,            0.006337,            0.006337
                 113,            0.018336,            0.006004,          0.00068456,             0.99586,                   1,               0.995,             0.89563,            0.014272,           0.0019147,          0.00047577,            0.006304,            0.006304,            0.006304
                 114,            0.021127,           0.0062931,          0.00057256,             0.99437,                   1,               0.995,             0.86758,             0.01488,           0.0020012,          0.00048293,            0.006271,            0.006271,            0.006271
                 115,            0.018127,           0.0058519,          0.00070675,             0.98803,                   1,               0.995,             0.88367,            0.012019,           0.0019375,          0.00044375,            0.006238,            0.006238,            0.006238
                 116,            0.019669,           0.0062809,          0.00051652,             0.98293,                   1,               0.995,             0.87509,            0.012481,           0.0019523,          0.00048419,            0.006205,            0.006205,            0.006205
                 117,            0.018411,           0.0061082,          0.00097909,              0.9748,                   1,               0.995,              0.8928,            0.011692,           0.0018599,          0.00041881,            0.006172,            0.006172,            0.006172
                 118,            0.019437,           0.0061621,          0.00057557,              0.9807,                   1,               0.995,             0.88493,            0.011446,           0.0018952,          0.00040196,            0.006139,            0.006139,            0.006139
                 119,            0.018099,             0.00621,          0.00076306,             0.98735,                   1,               0.995,             0.89526,            0.010358,           0.0019692,          0.00043562,            0.006106,            0.006106,            0.006106
                 120,            0.018579,           0.0057872,          0.00052122,             0.99841,                   1,               0.995,             0.89125,            0.015078,           0.0020273,          0.00040287,            0.006073,            0.006073,            0.006073
                 121,            0.019458,           0.0055732,          0.00051344,             0.99986,             0.99998,               0.995,             0.91086,            0.012404,           0.0019883,          0.00041898,             0.00604,             0.00604,             0.00604
                 122,            0.016836,           0.0058998,          0.00049771,              0.9925,                   1,               0.995,             0.90528,            0.010975,           0.0017997,          0.00040565,            0.006007,            0.006007,            0.006007
                 123,            0.017903,           0.0058495,          0.00048045,             0.99494,                   1,               0.995,             0.84033,            0.014074,           0.0019797,          0.00037638,            0.005974,            0.005974,            0.005974
                 124,            0.017788,           0.0057212,          0.00046064,             0.98437,                   1,               0.995,              0.8794,            0.013035,           0.0018926,          0.00040112,            0.005941,            0.005941,            0.005941
                 125,            0.020464,           0.0062837,          0.00045894,              0.9754,                   1,               0.995,              0.9044,            0.011782,            0.001892,          0.00043465,            0.005908,            0.005908,            0.005908
